 x              l1               l2                l3               l4
1    1.4844540e-15    1.0424296e-14    -1.7440964e-16    1.4006179e-14
2    9.4843475e-03    1.5472451e-14     2.7698432e-14    3.6856221e-14
3    1.1067283e-02    3.0893523e-02     3.5634020e-14    7.8031645e-14
4    4.3216295e-02    4.8854355e-02     7.8354254e-02    1.9240163e-13
5    9.4298571e-02    5.3439549e-02     8.0957683e-02    1.4183110e-01
6    1.1308478e-01    6.9801237e-02     9.2715431e-02    1.6356472e-01
7    1.7095115e-01    1.8424851e-01     1.1307320e-01    1.7996821e-01
8    2.5386969e-01    2.6455665e-01     1.2699987e-01    1.8427601e-01
9    3.1539431e-01    3.5775910e-01     2.3109519e-01    2.0228874e-01
10   3.8702795e-01    4.8933226e-01     4.5659273e-01    2.0990086e-01
11   4.9318460e-01    5.3083978e-01     5.0096242e-01    2.2764539e-01
12   6.1304300e-01    7.3117270e-01     5.4838290e-01    2.9914831e-01
13   6.8132554e-01    7.5052355e-01     9.0089804e-01    7.7140716e-01
14   8.1278471e-01    9.9648993e-01     9.1857745e-01    7.8057037e-01
15   1.0000000e+00    1.0000000e+00     1.0000000e+00    1.0000000e+00
