   label x y lambda e1 e2 e3 e4 e5 e6 e7
   1   0.0000000e+00   2.0000000e+01 -4.7161106e-16   2.0000000e-01   2.8417256e-01  -2.6238404e-01  -3.1801108e-01   2.4906983e-01  -2.6899940e-01  -2.8973250e-01
   2   2.0000000e+01   4.0000000e+01  8.9701547e-02   2.0000000e-01   2.5868184e-01  -2.3884779e-01  -2.8390301e-01   2.2235601e-01  -1.6625078e-01  -7.0500655e-02
   3   4.0000000e+01   5.5000000e+01  8.9701547e-02   2.0000000e-01   2.0998696e-01  -1.9388652e-01  -2.1934511e-01   1.7179354e-01   1.3112855e-15   2.0207691e-01
   4   7.0000000e+01   7.5000000e+01  1.0725434e-01   2.0000000e-01   1.4245593e-01  -1.3153333e-01  -1.3126150e-01   1.0280547e-01   1.6625078e-01   3.2174897e-01
   5   6.0000000e+01   4.5000000e+01  1.0725434e-01   2.0000000e-01   6.2146375e-02  -5.7381392e-02  -2.9099514e-02   2.2791064e-02   2.6899940e-01   1.9796329e-01
   6   1.4000000e+02   8.0000000e+01  3.8196601e-01   2.0000000e-01  -1.6172790e-01  -3.5134529e-01   4.0367594e-01  -1.4579502e-02  -2.6899940e-01  -2.7805766e-01
   7   1.2000000e+02   7.0000000e+01  7.5666985e-01   2.0000000e-01  -1.4722066e-01  -3.1982908e-01   3.6037994e-01  -1.3015787e-02  -1.6625078e-01  -6.7659813e-02
   8   1.1000000e+02   6.5000000e+01  7.5666985e-01   2.0000000e-01  -1.1950750e-01  -2.5962370e-01   2.7843163e-01  -1.0056072e-02   1.2280188e-15   1.9393417e-01
   9   8.5000000e+01   5.0000000e+01  9.0236373e-01   2.0000000e-01  -8.1074325e-02  -1.7612967e-01   1.6662032e-01  -6.0178003e-03   1.6625078e-01   3.0878402e-01
   10  7.5000000e+01   5.5000000e+01  9.0236373e-01   2.0000000e-01  -3.5368661e-02  -7.6836540e-02   3.6938253e-02  -1.3340932e-03   2.6899940e-01   1.8998631e-01
   11  1.4000000e+02  -3.0000000e+01  1.3819660e+00   2.0000000e-01  -3.8412590e-01   4.5240710e-02  -3.3515031e-01  -2.2547970e-01  -2.6899940e-01   1.1788342e-01
   12  1.2000000e+02  -2.0000000e+01  1.8433405e+00   2.0000000e-01  -3.4966921e-01   4.1182548e-02  -2.9920399e-01  -2.0129602e-01  -1.6625078e-01   2.8684591e-02
   13  1.1000000e+02   0.0000000e+00  1.8433405e+00   2.0000000e-01  -2.8384666e-01   3.3430248e-02  -2.3116673e-01  -1.5552247e-01   1.0595684e-15  -8.2219004e-02
   14  1.0000000e+02   2.5000000e+01  2.1819737e+00   2.0000000e-01  -1.9256262e-01   2.2679203e-02  -1.3833584e-01  -9.3068464e-02   1.6625078e-01  -1.3090996e-01
   15  8.0000000e+01   4.0000000e+01  2.1819737e+00   2.0000000e-01  -8.4005410e-02   9.8937988e-03  -3.0667835e-02  -2.0632456e-02   2.6899940e-01  -8.0545294e-02
   16  1.0000000e+01  -5.0000000e+01  2.6180340e+00   2.0000000e-01   3.3735620e-01   1.8918304e-01   1.1087680e-01  -3.8842395e-01  -2.6899940e-01   9.8993122e-02
   17  3.0000000e+01  -3.0000000e+01  2.9574565e+00   2.0000000e-01   3.0709483e-01   1.7221303e-01   9.8984778e-02  -3.4676379e-01  -1.6625078e-01   2.4088012e-02
   18  4.0000000e+01  -1.0000000e+01  2.9574565e+00   2.0000000e-01   2.4928658e-01   1.3979524e-01   7.6476213e-02  -2.6791172e-01   1.0595684e-15  -6.9043771e-02
   19  5.0000000e+01   1.0000000e+01  3.4267732e+00   2.0000000e-01   1.6911693e-01   9.4837604e-02   4.5765242e-02  -1.6032494e-01   1.6625078e-01  -1.0993221e-01
   20  6.0000000e+01   3.0000000e+01  3.4267732e+00   2.0000000e-01   7.3777233e-02   4.1372890e-02   1.0145750e-02  -3.5542623e-02   2.6899940e-01  -6.7638266e-02
   21  8.5000000e+01  -5.0000000e+01  3.6180340e+00   2.0000000e-01  -7.5674959e-02   3.7930559e-01   1.3860866e-01   3.7941332e-01  -2.6899940e-01   3.5091362e-01
   22  9.0000000e+01  -3.0000000e+01  3.7347976e+00   2.0000000e-01  -6.8886798e-02   3.4528129e-01   1.2374228e-01   3.3871959e-01  -1.6625078e-01   8.5387865e-02
   23  9.0000000e+01  -1.0000000e+01  3.7347976e+00   2.0000000e-01  -5.5919385e-02   2.8028473e-01   9.5603999e-02   2.6169672e-01   6.6895326e-16  -2.4474831e-01
   24  8.0000000e+01   1.0000000e+01  4.9996690e+00   2.0000000e-01  -3.7935916e-02   1.9014619e-01   5.7211778e-02   1.5660574e-01   1.6625078e-01  -3.8969082e-01
   25  7.5000000e+01   2.5000000e+01  4.9996690e+00   2.0000000e-01  -1.6549537e-02   8.2951244e-02   1.2683346e-02   3.4718109e-02   2.6899940e-01  -2.3976604e-01
